marca,nome,preco_antigo,centavos_antigo,preco_atual,centavos_atual,avaliacao,quantidade_avaliacoes
ULTRABONE,Tênis Academia Esportivo Unisex Caminhada Confortável Treino,57,35,5,57,,
PUMA,Tênis Puma Suede Original Couro Camurça Preto Branco Oferta,333,33,99,99,,
NEW SPEED,Kit 2 Pares De Tenis New Speed Classico Running Lançamento,349,90,321,90,,
VANS,Tênis Unissex Vans Old Skool Confortável Moda Urbano,333,90,99,30,,
,Tenis Polo Running Caminhada Masculino  Academia Super Leve,99,98,68,98,4.5,(47)
,Tênis Masculino Feminino Caminhada Academia Barato Promoção,69,96,57,63,5.0,(1)
VANS,Tênis V-ans Old Sk.ool Pra Seu Dia A Dia Clássico Unissex,342,86,112,97,,
NEW BALANCE,New Balance Fresh Foam X 1080 V12 Masculino Adultos,999,90,739,92,5.0,(13)
OLYMPIKUS,Tênis Olympikus Corrida De Rua Marinho Amortecimento Macio,249,99,187,49,5.0,(1)
ADIDAS,Tênis adidas Response Runner U Alta Performance - Unissex,299,99,224,99,,
SKECHERS,Skechers GORun Fast Masculino Adultos,277,67,30,85,4.4,(9)
FILA,Fila Float Maxxi 2 Masculino Adultos,699,99,524,99,4.8,(13)
,Tênis Sapatilha Naútica Aquática Leve Unissex Hibrida Neopre,99,90,33,30,,
MIZUNO,Mizuno Wave Legend 2 Masculino Adultos,469,90,46,99,4.6,(59)
MIZUNO,Tenis Mizuno Masculino Cool Ride 2 Marino,246,99,24,01,5.0,(3)
MIZUNO,Tênis Mizuno Wave Mirai 6 Masculino Steel Academia,489,90,48,99,4.6,(21)
,Tênis Masculino Academia Caminhada Esportivo Original Barato,109,77,65,86,4.7,(263)
PUMA,Tênis Puma Original Homem Mulher 34 A 43 Casual Dia A Dia,333,33,99,99,,
ULTRABONE,Kit 2 Pares Tenis Masculino Black Esportivo Academia Corrida,199,99,125,99,,
,Tênis Masculino Moda Fitness Caminhada Leve Barato Promoção,79,99,26,66,4.4,(157)
PLAZA,Kit 2 Pares Tênis Casual Esportivo Masculino Relogio Digital,149,90,14,57,4.3,(222)
,Tenis Casual Knu Skool Lançamento 34 Ao 43,389,90,198,84,,
OLYMPIKUS,Tênis Olympikus Infantil E Adulto Corrida Confortável -45%,110,,36,,,
,Tenis Casual Knu Skool Black White Preto E Branco Lançamento,267,90,160,74,4.8,(559)
OLYMPIKUS,Tênis Masculino Jogging 101 Olympikus *oferta*,199,99,147,84,4.5,(214)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,249,40,149,52,4.6,(2959)
FILA,Fila Recovery Masculino Adultos,399,99,283,99,4.7,(1844)
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,226,89,4.7,(1465)
,"Tenis Olympikus Proof 3 Masculino Numero 45,46,47,48",209,90,199,40,4.8,(670)
FILA,Tenis Para Corrida Confortavel Mais Equilibrio Fila Original,349,99,227,49,4.5,(386)
,Tenis  Masculino Promoção  Lançamento Original  Confortável.,69,90,59,41,4.6,(621)
LYND,Tênis Masculino Corrida Academia Caminhada Lynd- Grid 321,199,90,179,91,4.6,(702)
ADIDAS,Tênis adidas Masculino Corrida Treino Alta Performance Leve,399,99,323,99,5.0,(1)
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,239,91,215,91,4.6,(27)
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,78,90,64,69,4.5,(3311)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,179,90,104,90,4.6,(1829)
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,156,80,4.5,(11823)
ASCENSION,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,99,42,33,14,4.6,(243)
,Tenis Esportivo Masculino Caminhada Treino Academia Conforto,109,,36,,4.6,(14)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,119,90,71,94,4.6,(4052)
FILA,Tênis Fila Maxximus Preto Off White Adulto Masculino Novo,499,99,349,99,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Creme E Azul - Masculino,379,99,277,39,4.5,(8)
,Tenis Masculino Couro Okley Modoc Low Ll Conforto Resistente,239,90,34,27,,
OLYMPIKUS,Tênis Adulto Olympikus Veloz 3 Azul Masculino Coleção Nova,299,99,248,99,5.0,(3)
MIZUNO,Tênis Mizuno Jet 7 Masculino Preto Academia Treino,259,90,25,20,4.2,(5)
MIZUNO,Tenis Mizuno Creation 20 Treino Caminhada Leve Tamanho 44 45,387,97,135,78,,
,Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta,142,90,135,75,4.4,(4498)
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,71,01,4.5,(1693)
,Tenis Fila Masculino Progress Lite Corrida,299,90,29,08,,
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,78,90,7,67,4.7,(1405)
,Tênis Masculino Preto Para Caminhada De Academia Esportivo,109,99,65,99,4.7,(54)
,Kit 3 Pares Tênis Feminino E Masculino Academia Corrida,192,80,172,56,,
MIZUNO,Tênis Mizuno Wave Dynasty 6 Masculino Marinho Azul Treino,399,90,38,77,5.0,(2)
RAINHA,Tenis Corrida Masculino Caminhada Estiloso Esportivo,252,97,151,78,4.6,(10)
MIZUNO,Tenis Mizuno Masculino Wave Dynasty 6 Chumbo Laranja,332,49,33,25,5.0,(1)
,Tênis Esportivo On Shoes Masculino/feminino ,119,90,64,74,4.7,(5339)
DM DAMANDO,Tenis Masculino Esportivo Academia Confortavel Crossfit Leve,82,90,8,06,4.5,(44)
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,52,90,17,63,4.6,(1224)
ACTVITTA,Tênis Masculino Actvitta Leve Macio Academia Corrida,189,90,170,91,,
,Tênis Masculino Confortável Preto Para Academia De Caminhada,114,89,65,48,5.0,(1)
MOLEKINHO,Tênis Menino Casual Calce Fácil Dia A Dia Conforto Original,78,88,65,90,5.0,(75)
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,78,90,66,27,3.7,(12)
